EFG_Code,EFG_Val,Biome_Code,EFG_LongName,EFG_ShortName,update,ShortDesc,KeyFeats,DistributionSum,url
T2.6,12,T2,T2.6 Temperate pyric sclerophyll forests and woodlands,T2.6 Temp sclerophyll forests,2020-01-20T12:00:00Z,"In fire-prone temperate regions, temperate pyric sclerophyll forests are characterised by an open canopy of hard-leaved trees with a shrub layer underneath, sometimes with grasses and forbs. Productivity is limited by seasonal drought, hot summers, and low nutrients in sandy and loamy soils. Some groups of plants, birds, reptiles, and invertebrates have high diversity and uniqueness, many with locally restricted distributions. Plants and animals are adapted for persistence through successive summer droughts and fires and, although sensitive to fire frequency and season, periodic disturbance by fire is critical to maintaining forest diversity.",Sclerophyll forests and woodlands in warm climates with winter precipitation and a canopy-fire regime,"Temperate regions of Australia, the Mediterranean, and California",https://global-ecosystems.org/explore/groups/T2.6
T3.1,16,T3,T3.1 Seasonally dry tropical shrublands,T3.1 Seas dry trop shrublands,2020-01-20T12:00:00Z,"Occurring on nutrient-deficient soils of tropical regions, these fire-prone shrublands and low forests are associated with dry tropical winters, often occurring in a matrix with savannas (T4.2) or tropical dry forests (T1.2). Dominated by small-leaved sclerophyll shrubs and grasses, plants have traits to capture and conserve nutrients, such as cluster roots and carnivorous forms. Birds, reptiles and seed-eating small mammals dominate the vertebrate fauna, with few vertebrate herbivores. Periodic fires are cues for life-history processes of plants and animals, and help maintain species composition and nutrient cycling.","Mostly evergreen, sclerophyll shrublands on nutrient-poor soils, C4 grasses can be important","Global seasonally-dry tropics : South America, Australia, oceanic high islands",https://global-ecosystems.org/explore/groups/T3.1
T3.2,17,T3,T3.2 Seasonally dry temperate heath and shrublands,T3.2 Seas dry temp shrublands,2020-01-20T12:00:00Z,"These temperate ecosystems are dominated by sclerophyll shrubs with small or ericoid leaves. A low sparse tree canopy may or may not be present. Low-moderate productivity is limited by summer droughts and low nutrient availability. and sandy or loamy soils, with many diverse plant specialisations to low nutrient, and regular fires, accelerated by slow decomposition rates. Foodwebs vary from complex to simple, but most lack large herbivores and predators. Vertebrate herbivores have specialisations to exploit low nutrient vegetation and avoid recurring fires, which are influential on plant and animal life histories. Specific plant-invertebrate relationships (e.g. as larval hosts and pollinators) are common (moths and butterflies larval hosts, wasp pollinators).",Sclerophyll evergreen shrublands of humid and subhumid mid-latitudes with a canopy-fire regime,Temperate regions adjacent to cold ocean currents with summer dry season,https://global-ecosystems.org/explore/groups/T3.2
T3.3,18,T3,T3.3 Cool temperate heathlands,T3.3 Cool temp heathlands,2020-01-20T12:00:00Z,"In cool temperate, humid, maritime environments, a dense cover of low shrubs with small tough leaves is interspersed with grasses and ferns. Cold temperatures and low-fertility acid soils limit productivity, with wet subsoils limiting decomposition so that organic matter accumulates. Low intensity fires may occur in the warmer months. Browsing mammals, such as rabbits and deer, bring nutrients from more productive systems and maintain the shrubby composition. Canids and raptors are common predators of ground-nesting birds and rodents, in a relatively simple foodweb.","Low-diversity, low productivity mixed graminoid ericoid shrublands of maratime environments, supporting mammalian browsers","Boreal and cool temperate coasts, North America, Europe, Magellenic South America",https://global-ecosystems.org/explore/groups/T3.3
T3.4,19,T3,"T3.4 Young rocky pavements, lava flows and screes",T3.4 Rocky pavements,2020-05-31T21:14:17Z,"With a scattered distribution globally, these young rocky ecosystems are exposed to extreme temperatures, weathering and disturbance, and have limited capacity to retain water and nutrients. Analogues in icy environments belong to T6.2. Productivity and diversity are consequently low. Lichens and mosses are often abundant and important to ecosystem development, slowly building soils through incremental retention of moisture and nutrients. Successional development of soils and vegetation may be interrupted by landslides, eruptions and other mass movements. Small-leaved pioneer shrubs and grasses are sparse, often growing in crevices. The simple foodwebs are comprised mainly of microbes and itinerant organisms, with few resident vertebrates other than reptiles and ground-nesting birds.",Low-diversity cryptogam-dominated systems with scattered herbs and shrubs on skeletal substrates with limited nutrients and moisture,"Around the Pacific  Rim, African Rift Valley, Mediterranean and north Atlantic",https://global-ecosystems.org/explore/groups/T3.4
T4.1,22,T4,T4.1 Trophic savannas,T4.1 Trophic savannas,2020-01-20T12:00:00Z,"An unparalleled abundance and diversity of large herbivores maintain an open structure of these tree-grass ecosystems in the seasonal tropics of Africa and south Asia. Large herbivores are pivotal in maintaining short rhizomatous and tussock grasses, limiting recruitment of trees, cycling nutrients, sustaining complex food webs of invertebrate detritivores and diverse assemblages of mammalian and avian predators and scavengers. Seasonally high productivity coincides with the summer rainy season. Fires occur in some years, but are less influential than herbivores on ecosystem function. Trees and grasses have adaptations to seasonal drought and heavy browsing, such as rhizomes and stolons that allow grasses to spread under grazing pressure.",Grassy woodlands and grasslands dominated by C4 grasses in seasonal climates with lower rainfall and higher soil fertility.,African and Asian wet/dry tropics & subtropics,https://global-ecosystems.org/explore/groups/T4.1
T4.2,23,T4,T4.2 Pyric tussock savannas,T4.2 Pyric tussock savannas,2020-01-20T12:00:00Z,"In pyric savannas, recurring fire is the principal agent that limits tree dominance and maintains tree-grass coexistence. Dominated by tussock grasses that grow tall during high-productivity wet summers and cure over dry winter seasons, these ecosystems occur on all major land masses at tropical and subtropical latitudes around the world. Large mammalian herbivores are usually present, but not at densities that limit grass growth or mediate tree-grass coexistence (unlike T4.1). Many plants have traits that promote  tolerate of seasonal drought, such as deciduous leaf phenology, subterranean storage organs and deep roots. Invertebrate detritivores, notably termites,  and vertebrate scavengers are key groups in the foodweb.","Grasslands and grassy woodlands dominated by C4 tussock grasses. Strong seasonal (winter) drought, low fertility, and fires major consumer of biomass.",Global wet/dry tropics & subtropics,https://global-ecosystems.org/explore/groups/T4.2
T4.3,24,T4,T4.3 Hummock savannas,T4.3 Hummock savannas,2020-01-20T12:00:00Z,"Found only in northern Australia, hummock savannas are distinguished by a ground layer of slow-growing, domed hummock grasses interspersed with bare ground and some trees and shrubs. These habitats are less strongly seasonal than other savannas, but still with winter droughts and summer rains, and many plant adaptations to seasonal drought. Recurring fires are an important factor promoting patchiness of vegetation, but post-fire recovery is slower than other savanna ecosystems. Rocky coarse-textured substrates are low in nutrients. Foodwebs are correspondingly simple, with large numbers of invertebrates and low numbers of mammalian herbivores and vertebrate predators.","Sparse to open low-productivity woodlands in nutrient poor often rocky landscapes with C4 hummock grasses, rich reptile fauna, abundant termites, moderate herbivore densities and irregular fires.",Restricted to northern Australia in the wet-dry and semi-arid tropics.,https://global-ecosystems.org/explore/groups/T4.3
T4.4,25,T4,T4.4 Temperate woodlands,T4.4 Temp woodlands,2020-05-31T21:23:38Z,"Temperate woodlands are structurally simple, with widely-spaced trees and a ground layer of grasses with scattered shrubs. They are globally distributed in temperate climates with warm-season droughts. Tree foliage is typically evergreen, but may be deciduous in cold dry climates. During warm summers, productive grasses on fertile soils sustain a complex foodweb of insects, reptiles, birds and mammals. The ground flora varies with rainfall and tree cover, which creates diverse microhabitats beneath. Large herbivores and their predators are important to maintaining woodland composition, with burrowing mammals influencing soil and nutrient cycling. Fires occur periodically, but have less influence than in pyric savannas (T4.2) or forests (T2.6).","Open-canopy woodlands, trees microphyll and evergreen,  with herbaceous understory including C3 and/or C4 grasses","Temperate regions worldwide with summer water deficit, some with winter precipitation",https://global-ecosystems.org/explore/groups/T4.4
T4.5,26,T4,T4.5 Temperate subhumid grasslands,T4.5 Temperate grasslands,2020-08-17T10:37:51Z,"Temperate subhumid grasslands are simple in structure, composed of tussock grasses with scattered forbs, with few isolated trees and shrubs. Cold winters with occasional to frequent snow and frost limit the growing season, but hot dry summers create water stress. Nonetheless, fertile soils enable high productivity after rains, supporting a complex foodweb of invertebrates, ground-nesting birds, burrowing mammals, large herbivores, reptiles and predators. Large herbivores graze heavily, range widely, and are important in maintaining coexistence of plant species and nutrient cycling, as are periodic fires.","Tussock grasslands with mixtures of C3 and C4 grasses and interstitial forbs, high productivity and complex trophic networks","Temperate regions worldwide with summer water deficit, aseasonal precipitation that along with temperatures are lower than T4.4",https://global-ecosystems.org/explore/groups/T4.5
T5.1,30,T5,T5.1 Semi-desert steppe,T5.1 Semi-desert steppe,2020-05-31T21:28:09Z,"Semi-desert steppes on all continents are dominated by perennial shrubs, often with semi-fleshy or velvety foliage, and tussock grasses interspersed with bare ground. Low variable rainfall and extreme temperatures favour flora and fauna with drought and stress-tolerance adaptations, such as deep roots and nomadism. Growth and reproduction of shrubs and grasses is varies with rainfall, the cover of grass diminishing to near zero in extended droughts. Grass cover also depends on soil fertility and grazing animals, which may also limit shrub recruitment and growth. These steppes are among the most productive of desert ecosystems, with relatively abundant small and large herbivorous and seed-eating mammals supporting bird and mammal predators and scavengers.","Low-productivity and low-stature shrublands, tussock-grass and mixed, with episodic trophic pulses driven by variable rainfall",Global temperate-arid regions with high temperatures and low and variable precipitation,https://global-ecosystems.org/explore/groups/T5.1
T5.2,31,T5,T5.2 Succulent or Thorny deserts and semi-deserts,T5.2 Succulent/Thorny deserts,2020-06-01T11:19:19Z,"Succulent or Thorny deserts and semi-deserts are restricted in their occurrence to parts of the Americas, Africa, Madagascar and south Asia. They have a sparse cover of typical cactus-like plants and other slow-growing spiny and succulent species, on stony low-nutrient soils. Many of these plants store water in their stems and have deep roots. Short-lived plant species emerge after rains from dormant organs or soil seed banks. Plants and animals tolerate extreme summer temperatures and mild winters. Nocturnal and burrowing mammals are able to avoid extreme temperatures. Diverse opportunistic invertebrates and reptiles occur, along with small numbers of large-ranging ungulates.","Characterized by tall succulent plants, diverse annuals and geophytes, supporting diverse mammals, reptiles and invertebrates","Subtropical latitudes of the Americas, southern Africa and southern Asia",https://global-ecosystems.org/explore/groups/T5.2
T5.3,32,T5,T5.3 Sclerophyll hot deserts and semi-deserts,T5.3 Sclerophyll hot deserts,2020-06-01T11:19:40Z,"Sclerophyll hot deserts and semi-deserts occur across central and western Australia on sandy soils. Dry and very low nutrient conditions favour dominance of long-lived hard-leaved shrubs and hummock grasses. This vegetation concentrates scarce resources in patches that provide critical refuges for invertebrates, reptiles, ground-nesting birds and small mammals, whose digging activity contributes to nutrient cycling. Fires periodically liberate resources and restructure these ecosystems. Episodic rain storms regulated by regional climate cycles produce a ‘boom’ in productivity, with emergence of short-lived plants and high, but transient abundance of small mammals.","Perennial sclerophyll shrubs and Hummock C4 grasses on nutrient-poor soils; highly variable rainfall, high diversity and endemism",Central Australia on sandy substrates; extremely arid with hot summers and and cool winters.,https://global-ecosystems.org/explore/groups/T5.3
T5.4,33,T5,T5.4 Cool deserts and semi-deserts,T5.4 Cool temperate deserts,2020-01-20T12:00:00Z,"Cool deserts and semi-deserts occur on cool temperate plains and plateaus in central Eurasia and temperate parts of the Americas from sea level up to 4,000 m. Strong winds and freezing temperatures prevail, with low annual precipitation falling as winter snow or sleet. Productivity is low on infertile sandy and clay soils, often with high salinity. Vegetation comprises a sparse cover of low grasses and dwarf shrubs, interspersed with bare patches, with some areas having only lichens and mosses or no vegetation at all. Fauna includes large nomadic herbivores including antelopes, wild horses and camels, which control composition of vegetation. Predators include raptors, snakes, bears, and cats.","Xeromorphic suffratescent or non-sclerophyll shrublands or grasslands; freezing temperatures in winter low, rainfall offset by reduced evapotranspiration burdon; low diversity and endemism","Cool temperate plains and plateaus from sea level to 4,000 m elevation in central Eurasia, western North America, and Patagonia. Extreme cold deserts are placed in the polar/alpine biome",https://global-ecosystems.org/explore/groups/T5.4
T5.5,34,T5,T5.5 Hyper-arid deserts,T5.5 Hyper-arid deserts,2020-01-20T12:00:00Z,"The most extreme of all desert ecosystems, hyper-arid deserts are limited by very dry and often windy conditions with high temperatures and sandy or stony soils. Dry periods may be prolonged for several years. Vegetation is characterised by very low densities of small drought-tolerant perennial plants known as xerophytes, very slow growing species with adaptations to drought such as extensive root systems and water storage tissues. Some of these plants may acquire much of their moisture from fogs. Ephemeral plants occur in some regions, but are less common than in other desert systems. Microbial biofilms are important decomposers. Drought tolerant reptiles and invertebrates are the main faunal groups, along with occasional nomadic mammals and birds, in simple foodwebs.",Very sparsely vegetated ecosystems in areas with very low or no precipitation; very low productivity and simple trophic structures; low diversitybut high endemism,"Driest parts of the Sahara-Arabian, Atacama, and Namib deserts in subtropical latitudes",https://global-ecosystems.org/explore/groups/T5.5
T6.1,38,T6,"T6.1 Ice sheets, glaciers and perennial snowfields",T6.1 Permanent snow,2020-01-20T12:00:00Z,"Found in polar regions and on high mountains, ice sheets, glaciers and perennial snowfields make up around 10% of the earth’s surface. They have very low productivity and diversity in extreme cold conditions. Nutrients are in short supply, and generally come from glacial debris, seawater or guano. At the base of simple foodwebs, micro-organisms such as bacteria, viruses and algae are the dominant life forms, although itinerant vertebrates make important contributions to nutrient and carbon subsidies. Micro-organisms are often dispersed by wind, and accumulate organic matter at the surface, fuelling microbial activity both at the surface, and below the ice. Productivity is restricted to summer months, when migratory birds and mammals visit.","Permanent, dynamic ice cover where extreme cold limits productivity and diversity, biota dominated by microorganisms, migratory/overwintering birds may occur","Polar regions and high mountains in the  western Americas, central Asia, Europe, and New Zealand",https://global-ecosystems.org/explore/groups/T6.1
T6.2,39,T6,"T6.2 Polar/alpine cliffs, screes, outcrops and lava flows",T6.2 Polar/alpine rock,2020-01-20T12:00:00Z,"Polar-alpine rocky outcrops occur in permanently ice-free areas of polar regions and high mountains. Productivity and biomass are limited by extreme cold, rocky substrate and strong winds. Algae, lichens, mosses and bacteria support a short and simple foodweb in the summer months, with cold-tolerant invertebrates such as tardigrades. Some rocky sites provide nesting sites for birds in summer. Substrate weathering and guano are major nutrient inputs. These systems are periodically disturbed as accumulated snow and ice collapses down steep slopes.","Environments free of permanent ice where extreme cold, winds, skeletal substrates and periodic mass movement limit biota to cryptogams, invertebrates and microorganisms, nesting birds may occur.","Permanently ice-free areas of Antarctica,  Greenland, the Arctic Circle, and high mountains in the western  Americas, central Asia, Europe, Africa and New Zealand.",https://global-ecosystems.org/explore/groups/T6.2
T6.3,40,T6,T6.3 Polar tundra and deserts,T6.3 Polar tundra,2020-05-31T21:43:00Z,"Polar tundra and deserts have continuous to sparse cover of cold-tolerant mosses, liverworts, lichens, grasses, low shrubs and other flowering plants. They occur primarily in the Arctic circle, but polar desert is found in dry coastal lowlands of Antarctica. Precipitation falls as snow, with seasonal snow cover limiting the growing season. Extreme cold temperatures and short growing seasons exclude trees, as well as vascular plants in the coldest and driest locations. Permafrost substrates accumulate peat through slow decomposition rates. Migratory birds feed in distant wetlands or open oceans, and contribute nutrients to the system through guano, as well as dispersing seeds and other organisms. Migratory or hibernating mammals include seals, and, in the north, polar bears, foxes and wolves.","Open and low vegetation of herbaceous plants (e.g. tussocks, cushions,  rosette plants) and abundant kryptogams in very cold climates with permafrost","Locally in northern Europe (Scandinavia, Russia), northern Siberia and North America",https://global-ecosystems.org/explore/groups/T6.3
T6.4,41,T6,T6.4 Temperate alpine grasslands and shrublands,T6.4 Temp alpine grasslands,2020-11-25T12:29:49Z,"Temperate alpine grasslands and shrublands occur above the treeline, on temperate and boreal mountains worldwide. Seasonal productivity is limited by cold and snow cover, often with strong winds. Mosses, liverworts, lichens, flowering plants and low shrubs generally form a continuous cover, except where strong winds and dry conditions limit vegetation to sparse lichens and dwarf shrubs. Most fauna is seasonally active during warmer summer months, with insects and vertebrates having adaptations to extreme cold, including hibernation. Many species have restricted distributions, with strong barriers to dispersal between mountains.","Mountain systems above the physiological limits of trees, with sparse to continuous cover of herbaceous plants, cryptogams and dwarf shrubs that may be morphologically adaptated to extreme cold.","Ttemperate and boreal zones of the Americas, Europe, central Eurasia, west and north Asia,  Australia, and New Zealand",https://global-ecosystems.org/explore/groups/T6.4
T6.5,42,T6,T6.5 Tropical alpine grasslands and herbfields,T6.5 Trop alpine grassland,2020-11-25T12:27:51Z,"Tropical alpine grasslands and herbfields are limited to a few mountainous areas of Africa, the Americas and southeast Asia. Productivity is low, limited by dry conditions, rocky substrate and nightly cold, but is not strongly seasonal. Snow and fog are common. Typical flora includes mosses, lichens, and flowering plants including distinctive megaherbs and low shrubs. Plant species have adaptations for cold dry conditions, such as tiny leaves, cushion and rosette growth forms and slow growth. Plant composition is affected by competition and facilitation between species, as well as grazing and occasional fires. Simple foodwebs include invertebrates, small mammals and reptiles, along with visiting predators and occasional herbivores from lowland savannas.","Dense perennial C3 cold tolerant tussock grasslands, with distinctive arborescent rosette and cushion growth forms, treeless except for sheltered gullies.",High mountain tops of tropics,https://global-ecosystems.org/explore/groups/T6.5
T7.1,46,T7,T7.1 Annual croplands,T7.1 Croplands,2020-05-31T21:51:16Z,"Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","Structurally simple, very low- diversity, high-productivity annual croplands are maintained by the intensive anthropogenic supplementation of nutrients, water and artificial disturbance regimes","Tropical to temperate humid climatic zones or river flats in dry climates across south sub-Saharan and North Africa, Europe, Asia, southern Australia, Oceania, and the Americas.",https://global-ecosystems.org/explore/groups/T7.1
T7.2,47,T7,T7.2 Sown pastures and fields,T7.2 Sown pastures and fields,2021-07-19T23:59:43Z,"In these intensively managed agricultural systems, grasses and legumes are sown and cultivated, with regular inputs of nutrients and (sometimes) water, primary for the mostly commercial production of livestock or food (hay) for livestock. Sown pastures are structurally simple ecosystems with low-diversity and high-productivity. They are dominated by one or few selected plant species as primary food sources for one animal species (usually large mammalian herbivores). Management includes chemical or physical treatments to exclude competitors, predators, herbivores, or pathogens. They differ from less intensively managed rangeland (e.g. biome T5) and semi-natural grasslands (T7.5), where livestock graze in predominantly native ecosystems.","Structurally simple, very low- diversity, high-productivity grasslands dominated by one or few species of perennial grasses (Poacaeae) maintained by intensive addition of nutrients, water and artificial disturbance regimes (mowing or grazing)","Abundant in humid or sub-humid, boreal to tropical climates worldwide",https://global-ecosystems.org/explore/groups/T7.2
T7.3,48,T7,T7.3 Plantations,T7.3 Plantations,2020-01-20T12:00:00Z,"Plantations are generally long-rotation perennial woody crops established and maintained for a variety of food and materials. The harvested products include wood, various fruits, tea, coffee, palm oil and other food additives, materials such as rubber, ornamental materials (cut flowers), etc. The vegetation of most plantations comprises at least two vertical strata (the managed woody species and a ruderal ground layer), although mixed plantings may be more complex and host a relatively diverse flora and fauna if managed to promote habitat features. Fertilisers and water subsidies are applied, and harvesting occurs at intervals depending on the crop.","Structurally simple, low-diversity forests of one (rarely, a few) planted tree species of mostly same age, lack of structural elements of old-growth forests such as deadwood or cavities","Abundant in humid or sub-humid, boreal to tropical climates worldwide",https://global-ecosystems.org/explore/groups/T7.3
T7.4,49,T7,T7.4 Urban and industrial ecosystems,T7.4 Urban and industrial,2020-05-31T21:55:38Z,"Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","Ecosystems dominated by anthroipogenic structures (e.g. buildings, roads, wastelands) associated with human infrastructures, intensive anthropogenic disturbance regimes, and severely altered biogeochemical site conditions",Abundant worldwide in all regions settled by humans,https://global-ecosystems.org/explore/groups/T7.4
T7.5,50,T7,T7.5 Derived semi-natural pastures and old fields,T7.5 Semi-natural old fields,2020-05-18T11:21:01Z,"These managed ecosystems are derived from a range of other ecosystems (mostly from biome T1 - biome T4, a few from biome T5) by the removal or modification of woody plant components. The remaining vegetation includes both local indigenous species and introduced species, providing habitat for a mixed indigenous and non-indigenous fauna. They are used mainly for livestock grazing, which is essential to maintaining the structure of the system. Unlike sown pastures, inputs of water and nutrients are limited. Although structurally simpler than the systems from which they were derived, they often harbour an appreciable diversity of native organisms.","Extensively used, low-input grasslands (no or moderate fertilizer application, no sowing), rich in vascular plant species","In humid or sub-humid, boreal to tropical climates worldwide, mostly in regions with long agricultural tradition (e.g. Europe, western Asia)",https://global-ecosystems.org/explore/groups/T7.5
S1.1,54,S1,S1.1 Aerobic caves,S1.1 Aerobic caves,2020-01-20T12:00:00Z,"These air-filled voids beneath the ground are simple low-productivity ecosystems limited by an absence of solar energy, except around their openings to the surface. Food chains consequently lack plants and herbivores. Microbes in biofilms are the dominant life forms, but some caves have invertebrate detritivore and predators, or temporary vertebrate inhabitants. Their limited energy comes from organic material imported by seepage or animal movements, and bacteria that synthesise chemical energy from rocks. They are found on all major land masses, most commonly in carbonate rocks or lava tubes.","Dark dry or humid geological cavities with microbial chemoautotrophs, detrivores, decomposers, endemic invertebrates & no photoautotrophs",Scattered globally throughout land masses,https://global-ecosystems.org/explore/groups/S1.1
